2023-11-13 14:03:22 ./
127.0.0.1 5434 unsi_test_01 postgres stage_25_gar_build.csv 
--------------------------------------------------------
[14:03:22] ... Start process, Сборка gar-пакета
[14:03:22] ... -- Версия 18c681c$/2023-11-13
[14:03:22] ... -- p_twin_addr_objects_put.sql
[14:03:23] ... -- f_addr_obj_agg.sql
[14:03:23] ... -- f_addr_area_show_data.sql
[14:03:23] ... -- f_addr_obj_update_parent.sql
[14:03:24] ... -- f_addr_area_set_data.sql
[14:03:24] ... -- f_addr_obj_get_parents.sql
[14:03:24] ... -- f_addr_area_get_twins.sql
[14:03:24] ... -- f_addr_obj_update_children.sql
[14:03:24] ... -- p_alt_tbl.sql  
[14:03:24] ... -- del_gar_all.sql
[14:03:24] ... -- save_gar_addr_obj.sql         
[14:03:25] ... -- save_gar_normative_docs.sql   
[14:03:25] ... -- save_gar_apartments.sql       
[14:03:25] ... -- save_gar_adm_hierarchy.sql    
[14:03:25] ... -- save_gar_room_type.sql        
[14:03:25] ... -- save_gar_rooms.sql            
[14:03:25] ... -- save_gar_rooms_params.sql     
[14:03:25] ... -- save_gar_norm_docs_kinds.sql  
[14:03:25] ... -- save_gar_norm_docs_types.sql  
[14:03:26] ... -- save_gar_param_type.sql       
[14:03:26] ... -- save_gar_houses_params.sql    
[14:03:26] ... -- save_gar_carplaces_params.sql 
[14:03:26] ... -- save_gar_carplaces.sql        
[14:03:26] ... -- save_gar_apartments_params.sql
[14:03:26] ... -- save_gar_apartment_type.sql   
[14:03:26] ... -- save_gar_house_type.sql       
[14:03:26] ... -- save_gar_addr_obj_division.sql
[14:03:26] ... -- save_gar_steads_params.sql    
[14:03:26] ... -- save_gar_steads.sql           
[14:03:27] ... -- save_gar_reestr_objects.sql   
[14:03:27] ... -- save_gar_operation_type.sql   
[14:03:27] ... -- save_gar_object_level.sql     
[14:03:27] ... -- save_gar_mun_hierarchy.sql    
[14:03:27] ... -- save_gar_houses.sql           
[14:03:27] ... -- save_gar_change_history.sql   
[14:03:27] ... -- save_gar_add_house_type.sql   
[14:03:27] ... -- save_gar_addr_obj_type.sql    
[14:03:27] ... -- save_gar_addr_obj_params.sql  
[14:03:28] ... Stop process
--------------------------------------------------------
