2023-11-22 13:02:14 ./
127.0.0.1 5434 unsi_test_05 postgres stage_25_tmp_build.csv 
--------------------------------------------------------
[13:02:14] ... Start process, Сборка процессингового пакета
[13:02:14] ... -- Версия fe31532/2023-11-22
[13:02:14] ... -- drop_objects.sql
[13:02:15] ... -- CreateViewGarTmp.sql
[13:02:15] ... -- f_xxx_ob_seq_crt.sql  
[13:02:16] ... -- f_xxx_replace_char.sql
[13:02:16] ... -- f_xxx_adr_object_get_level.sql
[13:02:16] ... -- p_adr_area_type_set.sql  
[13:02:16] ... -- p_adr_street_type_set.sql
[13:02:16] ... -- p_adr_house_type_set.sql 
[13:02:17] ... -- p_adr_area_type_unload.sql
[13:02:17] ... -- p_adr_street_type_unload.sql
[13:02:17] ... -- p_adr_house_type_unload.sql
[13:02:17] ... -- p_xxx_adr_house_gap_put.sql
[13:02:17] ... -- p_xxx_adr_street_gap_put.sql
[13:02:17] ... -- p_xxx_adr_area_gap_put.sql
[13:02:17] ... -- f_xxx_adr_area_type_show_data.sql  
[13:02:17] ... -- f_xxx_adr_area_type_set.sql        
[13:02:18] ... -- f_xxx_adr_street_type_show_data.sql
[13:02:18] ... -- f_xxx_street_type_set.sql          
[13:02:18] ... -- f_xxx_house_type_show_data.sql     
[13:02:18] ... -- f_xxx_house_type_set.sql           
[13:02:18] ... -- f_xxx_adr_house_show_data.sql      
[13:02:18] ... -- f_xxx_adr_house_set_data.sql       
[13:02:19] ... -- f_adr_house_type_get.sql 
[13:02:19] ... -- f_adr_street_type_get.sql
[13:02:19] ... -- f_adr_area_type_get.sql  
[13:02:19] ... -- f_zzz_adr_area_type_show_tmp_data.sql
[13:02:19] ... -- f_zzz_street_type_show_tmp_data.sql  
[13:02:19] ... -- f_zzz_house_type_show_tmp_data.sql   
[13:02:19] ... -- f_xxx_obj_fias_0.sql
[13:02:20] ... -- f_xxx_obj_fias_1.sql
[13:02:20] ... -- f_xxx_obj_fias_2.sql
[13:02:20] ... -- f_xxx_obj_fias_set_data.sql
[13:02:20] ... -- f_adr_area_get.sql    
[13:02:20] ... -- f_adr_area_get_m.sql  
[13:02:21] ... -- f_adr_area_get_id.sql 
[13:02:21] ... -- f_adr_street_get.sql  
[13:02:21] ... -- f_adr_street_get_m.sql
[13:02:21] ... -- f_adr_street_get_id.sql
[13:02:21] ... -- f_adr_house_get.sql   
[13:02:21] ... -- f_adr_house_get_m.sql 
[13:02:21] ... -- f_adr_house_get_id.sql
[13:02:22] ... -- f_adr_object_get.sql  
[13:02:22] ... -- f_adr_object_get_m.sql
[13:02:22] ... -- p_alt_tbl.sql
[13:02:22] ... -- p_clear_tbl.sql
[13:02:22] ... -- p_gar_fias_crt_idx.sql
[13:02:23] ... -- fp_adr_area_del_twins_local.sql
[13:02:23] ... -- fp_adr_area_check_twins_local.sql
[13:02:23] ... -- fp_adr_street_del_twins_local.sql
[13:02:23] ... -- fp_adr_street_check_twins_local.sql
[13:02:23] ... -- fp_adr_house_del_twins_local_0.sql
[13:02:23] ... -- fp_adr_house_check_twins_local.sql
[13:02:23] ... -- p_adr_house_del_twins.sql УСТАРЕЛО, нужно для: "p_adr_house_ins", "fp_adr_house_upd"
[13:02:23] ... -- f_adr_area_unload_get_data.sql  
[13:02:23] ... -- f_adr_street_unload_get_data.sql
[13:02:24] ... -- f_adr_house_unload_get_data.sql 
[13:02:24] ... -- f_adr_object_unload_get_data.sql
[13:02:24] ... -- p_adr_area_ins.sql     
[13:02:24] ... -- p_adr_area_upd.sql     
[13:02:24] ... -- p_adr_street_ins.sql   
[13:02:24] ... -- p_adr_street_upd.sql   
[13:02:24] ... -- p_adr_house_ins.sql    
[13:02:24] ... -- fp_adr_house_upd.sql   
[13:02:24] ... -- p_adr_area_unload.sql  
[13:02:25] ... -- p_adr_area_upload.sql  
[13:02:25] ... -- p_adr_street_unload.sql
[13:02:25] ... -- p_adr_street_upload.sql
[13:02:25] ... -- p_adr_house_unload.sql 
[13:02:25] ... -- p_adr_house_upload.sql 
[13:02:25] ... -- p_adr_object_ins.sql   
[13:02:25] ... -- p_adr_object_upd.sql   
[13:02:25] ... -- p_adr_object_unload.sql
[13:02:25] ... -- p_adr_object_upload.sql
[13:02:25] ... -- f_adr_area_ins.sql          
[13:02:26] ... -- f_adr_area_upd.sql          
[13:02:26] ... -- f_adr_street_ins.sql        
[13:02:26] ... -- f_adr_street_upd.sql        
[13:02:26] ... -- f_adr_house_ins.sql         
[13:02:26] ... -- f_adr_house_upd.sql         
[13:02:26] ... -- f_show_params_value_data.sql
[13:02:27] ... -- f_set_params_value_data.sql 
[13:02:27] ... -- f_xxx_adr_area_show_data.sql
[13:02:27] ... -- f_xxx_adr_area_set_data.sql 
[13:02:27] ... Stop process
--------------------------------------------------------
