BEGIN
UPDATE 19
 id_area_type |             nm_area_type              | nm_area_type_short | pr_lead |     dt_data_del     
--------------+---------------------------------------+--------------------+---------+---------------------
            1 | Аал                                   | аал                |       0 | 
            2 | Автономный округ                      | АО                 |       0 | 
            3 | Автономная область                    | Аобл               |       0 | 
            4 | Арбан                                 | арбан              |       0 | 
            5 | Аул                                   | аул                |       0 | 
            6 | Выселки(ок)                           | высел.             |       0 | 
            7 | Город                                 | г.                 |       0 | 
            8 | Городок                               | городок            |       0 | 
            9 | городской поселок                     | гп                 |       0 | 
           10 | Деревня                               | д.                 |       0 | 
           11 | Дачный поселок                        | дп                 |       0 | 
           12 | Железнодорожная будка                 | ж/д_будка          |       0 | 
           13 | Железнодорожная казарма               | ж/д_казарм         |       0 | 
           14 | ж/д останов. (обгонный) пункт         | ж/д_оп             |       0 | 
           15 | Железнодорожная платформа             | ж/д_платф          |       0 | 
           16 | Железнодорожный пост                  | ж/д_пост           |       0 | 
           17 | Железнодорожный разъезд               | ж/д_рзд            |       0 | 
           18 | Железнодорожная станция               | ж/д_ст             |       0 | 
           19 | Жилая зона                            | жилзона            |       0 | 
           20 | Жилой район                           | жилрайон           |       0 | 
           21 | Заимка                                | заимка             |       0 | 
           22 | Казарма                               | казарма            |       0 | 
           23 | Квартал                               | кв-л               |       0 | 
           24 | Кордон                                | кордон             |       0 | 
           25 | Курортный поселок                     | кп                 |       0 | 
           26 | Край                                  | край               |       0 | 
           27 | Леспромхоз                            | лпх                |       0 | 
           28 | Местечко                              | м.                 |       0 | 
           29 | Массив                                | массив             |       0 | 
           30 | Микрорайон                            | мкр.               |       0 | 
           31 | Населенный пункт                      | нп                 |       0 | 
           32 | Область                               | обл.               |       0 | 
           33 | Остров                                | остров             |       0 | 
           34 | Поселок                               | п.                 |       0 | 
           35 | Поселение                             | поселение          |       0 | 
           36 | Поселок и(при) станция(и)             | п/ст               |       0 | 
           37 | Поселок городского типа               | пгт                |       0 | 
           38 | Починок                               | починок            |       0 | 
           39 | Промышленная зона                     | промзона           |       0 | 
